timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1586774659266,52,Open Predefined Date,200,OK,Anonymous Group 3-1,text,true,,32920,379,1,3,http://192.168.1.8/demo/2019/09/10/default,52,0,1
1586774659333,12,Open Random Page,200,OK,Anonymous Group 3-1,text,true,,32673,739,1,3,http://192.168.1.8/demo/?page=15),1,0,0
1586774659333,1,Open Random Page-0,301,Moved Permanently,Anonymous Group 3-1,text,true,,384,369,1,3,http://192.168.1.8/demo?page=15),1,0,0
1586774659334,11,Open Random Page-1,200,OK,Anonymous Group 3-1,text,true,,32289,370,1,3,http://192.168.1.8/demo/?page=15),11,0,0
1586774659383,73,Open First Post,200,OK,Anonymous Group 3-1,text,true,,26333,380,1,3,http://192.168.1.8/demo/post/Lorem-ipsum100,73,0,0
1586774659129,137,- Anonymous Group,200,"Number of samples in transaction : 3, number of failing samples : 0",Anonymous Group 3-1,,true,,91926,1498,1,3,null,126,193,1
1586774659128,81,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor Group 2-1,,true,,32280,361,1,2,null,0,258,0
1586774659386,81,Open Home Page,200,OK,Editor Group 2-1,text,true,,32280,361,1,2,http://192.168.1.8/demo/,81,0,1
1586774659128,17,Open Home Page,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin Group 1-1,,true,,32280,361,1,2,null,0,404,0
1586774659532,17,Open Home Page,200,OK,Admin Group 1-1,text,true,,32280,361,1,2,http://192.168.1.8/demo/,16,0,0
1586774659467,4,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Editor Group 2-1,,true,,5711,1473,1,2,null,0,403,0
1586774659565,2,Login.Open,200,OK,Editor Group 2-1,text,true,,4543,385,1,2,http://192.168.1.8/demo/Account/login.aspx,2,0,0
1586774659872,2,Login.Submit,302,Found,Editor Group 2-1,text,true,,1168,1088,1,2,http://192.168.1.8/demo/Account/Login.aspx,2,0,0
1586774659549,5,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",Admin Group 1-1,,true,,5711,1403,1,2,null,0,413,0
1586774659659,2,Login.Open,200,OK,Admin Group 1-1,text,true,,4543,379,1,2,http://192.168.1.8/demo/Account/login.aspx,2,0,0
1586774659964,3,Login.Submit,302,Found,Admin Group 1-1,text,true,,1168,1024,1,2,http://192.168.1.8/demo/Account/login.aspx,3,0,0
1586774659874,12,Open Predefined Date,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor Group 2-1,,true,,36634,1153,1,2,null,0,399,0
1586774660274,12,Open Predefined Date,200,OK,Editor Group 2-1,text,true,,36634,1153,1,2,http://192.168.1.8/demo/2019/09/10/default,12,0,0
1586774659967,6,Open Admin Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Admin Group 1-1,,true,,15122,2353,1,2,null,0,495,0
1586774660002,2,Open Admin Page,200,OK,Admin Group 1-1,text,true,,8979,1167,1,2,http://192.168.1.8/demo/admin/,2,0,0
1586774660464,4,Get users,200,OK,Admin Group 1-1,text,true,,6143,1186,1,2,http://192.168.1.8/demo/api/users?filter=1+%3D%3D+1&order=UserName&skip=0&take=0,4,0,0
1586774660476,5,Delete User,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin Group 1-1,,true,,182,1709,1,2,null,0,7,0
1586774660483,5,Delete User,200,OK,Admin Group 1-1,,true,,182,1709,1,2,http://192.168.1.8/demo/api/users/processchecked/delete,5,0,0
1586774660286,4,Edit,200,"Number of samples in transaction : 2, number of failing samples : 0",Editor Group 2-1,,true,,21696,2473,1,2,null,0,419,0
1586774660549,2,Edit page,200,OK,Editor Group 2-1,text,true,,19988,1225,1,2,http://192.168.1.8/demo/admin/app/editor/editpost.cshtml?id=f3e24858-800a-4d22-b842-9281cb4c2c91,2,0,0
1586774660707,2,Edit page API,200,OK,Editor Group 2-1,text,true,,1708,1248,1,2,http://192.168.1.8/demo/api/posts/f3e24858-800a-4d22-b842-9281cb4c2c91,2,0,0
1586774660709,0,Open Predefined Date,200,"Number of samples in transaction : 0, number of failing samples : 0",Editor Group 2-1,,true,,0,0,1,2,null,0,68,0
